,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RAIS - Divulgação: Novembro de 2022,,,,,
,,,,,,
,Ano: 2021,,Brasil,,,
,,,,,,
,,,,,,
,Indicadores,,Ano,,Variação,
,,,2020,2021,Absoluta,Relativa (%)
,Estoque Total,,"46,236,176","48,728,871","2,492,695",5.39
,Região e UF,,,,,
,Estoque,Brasil,"46,236,176","48,728,871","2,492,695",5.39
,,Norte,"2,642,126","2,808,709","166,583",6.30
,,Rondônia,"342,766","312,314","-30,452",-8.88
,,Acre,"132,851","142,490","9,639",7.26
,,Amazonas,"592,188","653,783","61,595",10.40
,,Roraima,"101,770","111,208","9,438",9.27
,,Pará,"1,081,037","1,167,171","86,134",7.97
,,Amapá,"124,619","125,710","1,091",0.88
,,Tocantins,"266,895","296,033","29,138",10.92
,,Nordeste,"8,368,329","9,030,950","662,621",7.92
,,Maranhão,"744,033","818,989","74,956",10.07
,,Piauí,"436,375","459,729","23,354",5.35
,,Ceará,"1,441,497","1,528,938","87,441",6.07
,,Rio Grande do Norte,"568,224","615,645","47,421",8.35
,,Paraíba,"629,136","676,391","47,255",7.51
,,Pernambuco,"1,525,279","1,663,000","137,721",9.03
,,Alagoas,"481,543","522,990","41,447",8.61
,,Sergipe,"366,054","392,070","26,016",7.11
,,Bahia,"2,176,188","2,353,198","177,010",8.13
,,Sudeste,"22,724,044","23,877,668","1,153,624",5.08
,,Minas Gerais,"4,814,874","5,148,435","333,561",6.93
,,Espírito Santo,"891,778","941,986","50,208",5.63
,,Rio de Janeiro,"3,767,037","3,938,871","171,834",4.56
,,São Paulo,"13,250,355","13,848,376","598,021",4.51
,,Sul,"8,267,779","8,722,449","454,670",5.50
,,Paraná,"3,086,129","3,257,533","171,404",5.55
,,Santa Catarina,"2,360,682","2,504,231","143,549",6.08
,,Rio Grande do Sul,"2,820,968","2,960,685","139,717",4.95
,,Centro-Oeste,"4,233,898","4,289,081","55,183",1.30
,,Mato Grosso do Sul,"654,413","699,968","45,555",6.96
,,Mato Grosso,"856,817","919,419","62,602",7.31
,,Goiás,"1,484,260","1,585,167","100,907",6.80
,,Distrito Federal,"1,238,408","1,084,527","-153,881",-12.43
,,Não Identificado,0,14,14,----
,Grupamento de Atividades Econômicas e Seção CNAE 2.0,,,,,
,Estoque,"Agricultura, pecuária, produção florestal, pesca e aquicultura","1,466,390","1,531,816","65,426",4.46
,,Indústria geral,"7,573,595","8,014,207","440,612",5.82
,,Indústrias Extrativas,"227,666","243,993","16,327",7.17
,,Indústrias de Transformação,"6,857,500","7,256,234","398,734",5.81
,,Eletricidade e Gás,"130,861","131,729",868,0.66
,,"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação","357,568","382,251","24,683",6.90
,,Construção,"2,111,806","2,313,533","201,727",9.55
,,Comércio; reparação de veículos automotores e motocicletas,"8,991,346","9,454,656","463,310",5.15
,,Serviços,"26,093,039","27,414,659","1,321,620",5.07
,,"Transporte, armazenagem e correio","2,309,007","2,385,646","76,639",3.32
,,Alojamento e alimentação,"1,593,151","1,702,332","109,181",6.85
,,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas","7,793,640","8,393,233","599,593",7.69
,,Informação e Comunicação,"940,681","1,065,893","125,212",13.31
,,"Atividades Financeiras, de Seguros e Serviços Relacionados","902,797","1,014,124","111,327",12.33
,,Atividades Imobiliárias,"158,699","177,425","18,726",11.80
,,"Atividades Profissionais, Científicas e Técnicas","1,146,010","1,273,650","127,640",11.14
