,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RAIS - Divulgação: Dezembro de 2024,,,,,
,,,,,,
,Ano: 2023,,,,,
,,,,,,
,,,,,,
,Indicadores,,2022,2023,Variação Absoluta,Variação Relativa
,Estoque Total,,52.790.864,54.706.385,1.915.521,"3,6%"
,Região e UF,,,,,
,Estoque,Brasil,52.790.864,54.706.385,1.915.521,"3,6%"
,,Norte,3.118.437,3.358.788,240.351,"7,7%"
,,Rondônia,393.110,362.367,-30.743,"-7,8%"
,,Acre,155.561,173.314,17.753,"11,4%"
,,Amazonas,713.243,770.780,57.537,"8,1%"
,,Roraima,103.173,125.882,22.709,"22,0%"
,,Pará,1.278.058,1.375.238,97.180,"7,6%"
,,Amapá,139.847,158.396,18.549,"13,3%"
,,Tocantins,335.445,392.811,57.366,"17,1%"
,,Nordeste,9.777.008,10.326.209,549.201,"5,6%"
,,Maranhão,913.996,929.882,15.886,"1,7%"
,,Piauí,487.123,559.039,71.916,"14,8%"
,,Ceará,1.651.737,1.739.427,87.690,"5,3%"
,,Rio Grande do Norte,658.943,691.655,32.712,"5,0%"
,,Paraíba,728.139,714.135,-14.004,"-1,9%"
,,Pernambuco,1.784.058,1.905.908,121.850,"6,8%"
,,Alagoas,578.837,621.725,42.888,"7,4%"
,,Sergipe,417.135,452.104,34.969,"8,4%"
,,Bahia,2.557.040,2.712.334,155.294,"6,1%"
,,Sudeste,25.769.329,26.377.187,607.858,"2,4%"
,,Minas Gerais,5.523.279,5.633.160,109.881,"2,0%"
,,Espírito Santo,1.024.260,1.085.430,61.170,"6,0%"
,,Rio de Janeiro,4.329.999,4.339.847,9.848,"0,2%"
,,São Paulo,14.891.791,15.318.750,426.959,"2,9%"
,,Sul,9.274.065,9.592.485,318.420,"3,4%"
,,Paraná,3.461.341,3.621.254,159.913,"4,6%"
,,Santa Catarina,2.665.743,2.750.663,84.920,"3,2%"
,,Rio Grande do Sul,3.146.981,3.220.568,73.587,"2,3%"
,,Centro-Oeste,4.850.100,5.050.945,200.845,"4,1%"
,,Mato Grosso do Sul,778.494,829.312,50.818,"6,5%"
,,Mato Grosso,1.043.225,1.162.983,119.758,"11,5%"
,,Goiás,1.778.328,1.856.886,78.558,"4,4%"
,,Distrito Federal,1.250.053,1.201.764,-48.289,"-3,9%"
,Grupamento de Atividades Econômicas e Seção CNAE 2.0,,,,,
,Estoque,"Agricultura, pecuária, produção florestal, pesca e aquicultura",1.751.423,1.787.678,36.255,"2,1%"
,,Indústria geral,8.531.819,8.656.622,124.803,"1,5%"
,,Indústrias Extrativas,256.130,271.027,14.897,"5,8%"
,,Indústrias de Transformação,7.736.871,7.831.207,94.336,"1,2%"
,,Eletricidade e Gás,132.518,135.486,2.968,"2,2%"
,,"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",406.300,418.902,12.602,"3,1%"
,,Construção,2.667.550,2.852.711,185.161,"6,9%"
,,Comércio; reparação de veículos automotores e motocicletas,10.056.853,10.268.406,211.553,"2,1%"
,,Serviços,29.782.254,31.140.699,1.358.445,"4,6%"
,,"Transporte, armazenagem e correio",2.588.304,2.697.781,109.477,"4,2%"
,,Alojamento e alimentação,2.032.858,2.161.320,128.462,"6,3%"
,,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",9.367.849,9.823.465,455.616,"4,9%"
,,Informação e Comunicação,1.175.058,1.198.087,23.029,"2,0%"
,,"Atividades Financeiras, de Seguros e Serviços Relacionados",1.054.267,1.071.334,17.067,"1,6%"
,,Atividades Imobiliárias,188.157,197.200,9.043,"4,8%"
,,"Atividades Profissionais, Científicas e Técnicas",1.490.474,1.566.228,75.754,"5,1%"
,,Atividades Administrativas e Serviços Complementares,5.459.893,5.790.616,330.723,"6,1%"
,,"Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais",14.360.994,14.929.001,568.007,"4,0%"
,,"Administração Pública, Defesa e Seguridade Social",8.711.475,8.629.003,-82.472,"-0,9%"
,,Educação,2.628.355,3.127.383,499.028,"19,0%"
,,Saúde Humana e Serviços Sociais,3.021.164,3.172.615,151.451,"5,0%"
,,Outros serviços,1.430.966,1.528.135,97.169,"6,8%"
,,"Artes, Cultura, Esporte e Recreação",278.775,307.645,28.870,"10,4%"
,,Outras Atividades de Serviços,1.149.872,1.216.058,66.186,"5,8%"
,,Organismos Internacionais e Outras Instituições Extraterritoriais,2.319,4.432,2.059,"86,8%"
,Natureza Jurídica,,,,,
,Estoque,Setor Público Federal,938.997,826.434,-112.563,"-12,0%"
,,Setor Público Estadual,2.962.518,2.860.665,-101.853,"-3,4%"
,,Setor Público Municipal,5.908.300,6.519.640,611.340,"10,3%"
,,Setor Público - Outros,23.241,26.848,3.607,"15,5%"
